the_geom,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD
"{type=Point, coordinates=List(-76.60947777806021, 39.32478055585468)}",1,535,,Greenmount  - 30th,BPD Cameras,-76.60947777,39.32478055
"{type=Point, coordinates=List(-76.61052500032619, 39.29905277779921)}",2,2508,,JFX North,BPD Cameras,-76.610525,39.29905277
"{type=Point, coordinates=List(-76.61066666649648, 39.30105833258659)}",3,2507,,JFX south,BPD Cameras,-76.61066666,39.30105833
"{type=Point, coordinates=List(-76.61072777792641, 39.301263888792114)}",4,2506,,Fallsway and Eager,BPD Cameras,-76.61072777,39.30126388
"{type=Point, coordinates=List(-76.6098277777206, 39.30217499994844)}",5,2505,,Warden St Lot,BPD Cameras,-76.60982777,39.30217499
"{type=Point, coordinates=List(-76.60820555639778, 39.30102777772807)}",6,2504,,Eager St(widows Peak),BPD Cameras,-76.60820555,39.30102777
"{type=Point, coordinates=List(-76.61058888929246, 39.29773888912454)}",7,2503,,Monument and Fallsway,BPD Cameras,-76.61058888,39.29773888
"{type=Point, coordinates=List(-76.60893611120277, 39.29879999968301)}",8,2502,,Madison and Constitution,BPD Cameras,-76.60893611,39.29879999
"{type=Point, coordinates=List(-76.66911388930494, 39.30514166663565)}",9,930,,Rosedale - Brighton,BPD Cameras,-76.66911388,39.30514166
"{type=Point, coordinates=List(-76.66092499948412, 39.300391667442966)}",10,932,,Riggs - Braddish,BPD Cameras,-76.66092499,39.30039166
"{type=Point, coordinates=List(-76.66348333283798, 39.30029722199193)}",11,931,,Riggs - Dukeland,BPD Cameras,-76.66348333,39.30029722
"{type=Point, coordinates=List(-76.63350148051639, 39.30434818383968)}",12,1113,,Division St - Islamic Way,BPD Cameras,-76.63350148,39.30434818
"{type=Point, coordinates=List(-76.6366138890377, 39.2866250001965)}",13,1029,,Lombard & Carrolton,BPD Cameras,-76.63661388,39.286625
"{type=Point, coordinates=List(-76.63157400340762, 39.302753056343654)}",14,1118,,Division St - Mosher St,BPD Cameras,-76.631574,39.30275305
"{type=Point, coordinates=List(-76.61468888856365, 39.28421111134716)}",15,1920,,Charles and Conway,BPD Cameras,-76.61468888,39.28421111
"{type=Point, coordinates=List(-76.61765555614613, 39.284061110876614)}",16,1931,,Sharp and Conway,BPD Cameras,-76.61765555,39.28406111
"{type=Point, coordinates=List(-76.61844722247379, 39.278305556137035)}",17,1922,,182 Hamburg st,BPD Cameras,-76.61844722,39.27830555
"{type=Point, coordinates=List(-76.6345400981702, 39.300591402663464)}",18,1116,,Mosher St - Argyle St,BPD Cameras,-76.63454009,39.3005914
"{type=Point, coordinates=List(-76.63350148051639, 39.30434818383968)}",19,1113,,Division St - Islamic Way,BPD Cameras,-76.63350148,39.30434818
"{type=Point, coordinates=List(-76.63450850272231, 39.305122040956284)}",20,1111,,Division - Laurens,BPD Cameras,-76.6345085,39.30512204
"{type=Point, coordinates=List(-76.63644287531703, 39.30669205768647)}",21,1107,,Division - Presstman,BPD Cameras,-76.63644287,39.30669205
"{type=Point, coordinates=List(-76.64127059154201, 39.30762937407028)}",22,1102,,Carey St - Baker St,BPD Cameras,-76.64127059,39.30762937
"{type=Point, coordinates=List(-76.5826939997134, 39.30477700029094)}",23,625,,Milton & E Biddle St,BPD Cameras,-76.58269399,39.304777
"{type=Point, coordinates=List(-76.63521220663657, 39.30340229698135)}",24,1966,,Avenue Market Parking Lot,BPD Cameras,-76.6352122,39.30340229
"{type=Point, coordinates=List(-76.62107399948339, 39.290996000066315)}",25,01,,Eutaw-Lexington Market,BPD Cameras,-76.62107399,39.290996
"{type=Point, coordinates=List(-76.62100940923314, 39.29039532375505)}",26,02,,Eutaw-Fayette,BPD Cameras,-76.6210094,39.29039532
"{type=Point, coordinates=List(-76.62098500056481, 39.28932400019009)}",27,03,,Eutaw-Baltimore,BPD Cameras,-76.620985,39.289324
"{type=Point, coordinates=List(-76.62094800018488, 39.28867799982765)}",28,04,,Eutaw-Redwood,BPD Cameras,-76.620948,39.28867799
"{type=Point, coordinates=List(-76.62085399988749, 39.28752800027905)}",29,05,,Eutaw-Lombard,BPD Cameras,-76.62085399,39.287528
"{type=Point, coordinates=List(-76.62067500015677, 39.285245000051546)}",30,06,,Eutaw-Camden,BPD Cameras,-76.620675,39.285245
"{type=Point, coordinates=List(-76.62212900041128, 39.28625699993212)}",31,07,,Paca-Pratt,BPD Cameras,-76.622129,39.28625699
"{type=Point, coordinates=List(-76.62361600019788, 39.287415000387284)}",32,08,,Greene-Lombard,BPD Cameras,-76.623616,39.287415
"{type=Point, coordinates=List(-76.6236949998364, 39.28922199991483)}",33,09,,Greene-Baltimore,BPD Cameras,-76.62369499,39.28922199
"{type=Point, coordinates=List(-76.62377700048175, 39.29033300017469)}",34,10,,Greene-Fayette,BPD Cameras,-76.623777,39.290333
"{type=Point, coordinates=List(-76.62383700052072, 39.29137700044108)}",35,11,,Greene-Lexington,BPD Cameras,-76.623837,39.291377
"{type=Point, coordinates=List(-76.62241099961119, 39.290370000277846)}",36,12,,Paca-Fayette,BPD Cameras,-76.62241099,39.29037
"{type=Point, coordinates=List(-76.61934497665766, 39.28756912739982)}",37,13,,Howard-Lombard,BPD Cameras,-76.61934497,39.28756912
"{type=Point, coordinates=List(-76.61936899989124, 39.2863149996113)}",38,14,,Howard-Pratt,BPD Cameras,-76.61936899,39.28631499
"{type=Point, coordinates=List(-76.61928300016163, 39.28530199986979)}",39,15,,Howard-Camden,BPD Cameras,-76.619283,39.28530199
"{type=Point, coordinates=List(-76.61619099965162, 39.286452000221)}",40,16,,S Hanover- W Pratt,BPD Cameras,-76.61619099,39.286452
"{type=Point, coordinates=List(-76.61769200007332, 39.2876680000085)}",41,17,,Hopkins Pl - W Lombard St,BPD Cameras,-76.617692,39.287668
"{type=Point, coordinates=List(-76.61778999954743, 39.28938399974704)}",42,18,,Park Ave-W Baltimore St,BPD Cameras,-76.61778999,39.28938399
"{type=Point, coordinates=List(-76.61948000021472, 39.289386000124296)}",43,19,,S Howard St - W Baltimore St,BPD Cameras,-76.61948,39.289386
"{type=Point, coordinates=List(-76.61949000056008, 39.29044699971935)}",44,20,,N Howard St-W Fayette St,BPD Cameras,-76.61949,39.29044699
"{type=Point, coordinates=List(-76.61966400039873, 39.291602000038985)}",45,21,,N Howard St - W Lexington St,BPD Cameras,-76.619664,39.291602
"{type=Point, coordinates=List(-76.61801999967356, 39.29158100011018)}",46,22,,Park Ave-W Lexington St,BPD Cameras,-76.61801999,39.291581
"{type=Point, coordinates=List(-76.61708399958074, 39.291669999813294)}",47,23,,N Liberty St - W Lexington St,BPD Cameras,-76.61708399,39.29166999
"{type=Point, coordinates=List(-76.61767400030202, 39.29045100028151)}",48,24,,N Liberty St-W Fayette St,BPD Cameras,-76.617674,39.290451
"{type=Point, coordinates=List(-76.61798499950945, 39.29050099982795)}",49,25,,Park Ave - W Fayette St,BPD Cameras,-76.61798499,39.29050099
"{type=Point, coordinates=List(-76.61684319031997, 39.292344397790686)}",50,26,,N Liberty St-Clay St,BPD Cameras,-76.61684319,39.29234439
"{type=Point, coordinates=List(-76.61677699973664, 39.29301900007957)}",51,27,,Cathedral St - W Saratoga St,BPD Cameras,-76.61677699,39.293019
"{type=Point, coordinates=List(-76.61679299956396, 39.29405300019025)}",52,28,,Cathedral St-W Mulberry St,BPD Cameras,-76.61679299,39.294053
"{type=Point, coordinates=List(-76.61548899967683, 39.29415100001895)}",53,29,,N Charles St - E Mulberry St,BPD Cameras,-76.61548899,39.294151
"{type=Point, coordinates=List(-76.6168720001383, 39.295047999927284)}",54,30,,Cathedral St-W Franklin St,BPD Cameras,-76.616872,39.29504799
"{type=Point, coordinates=List(-76.61832400046848, 39.29501100021042)}",55,31,,Park Ave - W Franklin St,BPD Cameras,-76.618324,39.295011
"{type=Point, coordinates=List(-76.61822400019851, 39.29401699976406)}",56,32,,Park Ave-W Mulberry St,BPD Cameras,-76.618224,39.29401699
"{type=Point, coordinates=List(-76.6181579995468, 39.29295399959907)}",57,33,,Park Ave - W Saratoga St,BPD Cameras,-76.61815799,39.29295399
"{type=Point, coordinates=List(-76.61965900046312, 39.292896000137894)}",58,34,,N Howard St - W Saratoga St,BPD Cameras,-76.619659,39.292896
"{type=Point, coordinates=List(-76.61977300012364, 39.293986999916385)}",59,35,,N Howard St - W Mulberry St,BPD Cameras,-76.619773,39.29398699
"{type=Point, coordinates=List(-76.61979737383832, 39.29495596899531)}",60,36,,N Howard St-W Franklin St,BPD Cameras,-76.61979737,39.29495596
"{type=Point, coordinates=List(-76.61991700026542, 39.29620900011834)}",61,37,,N Howard St - W Centre St,BPD Cameras,-76.619917,39.296209
"{type=Point, coordinates=List(-76.62131699951868, 39.29578999976339)}",62,38,,N Eutaw St-George St,BPD Cameras,-76.62131699,39.29578999
"{type=Point, coordinates=List(-76.62232999948857, 39.28927800015219)}",63,39,,S Paca St - W Baltimore St,BPD Cameras,-76.62232999,39.289278
"{type=Point, coordinates=List(-76.62114499960097, 39.292830000144725)}",64,40,,N Eutaw St-W Saratoga,BPD Cameras,-76.62114499,39.29283
"{type=Point, coordinates=List(-76.62253900053139, 39.29282200004747)}",65,41,,N Paca St - W Saratoga St,BPD Cameras,-76.622539,39.292822
"{type=Point, coordinates=List(-76.62257099961067, 39.293837000418165)}",66,42,,N Paca St-W Mulberry St,BPD Cameras,-76.62257099,39.293837
"{type=Point, coordinates=List(-76.62244100028782, 39.291427999967226)}",67,43,,N Paca St - W Lexington St,BPD Cameras,-76.622441,39.29142799
"{type=Point, coordinates=List(-76.62395100034688, 39.29479199978115)}",68,44,,N Greene St-W Franklin St,BPD Cameras,-76.623951,39.29479199
"{type=Point, coordinates=List(-76.62389499983931, 39.29283999997947)}",69,45,,N Greene St - W Saratoga St,BPD Cameras,-76.62389499,39.29283999
"{type=Point, coordinates=List(-76.62126000020282, 39.294889999899205)}",70,46,,N Eutaw St-W Franklin St,BPD Cameras,-76.62126,39.29488999
"{type=Point, coordinates=List(-76.62127018012609, 39.296695864648235)}",71,47,,N Eutaw St - Druid Hill Ave,BPD Cameras,-76.62127018,39.29669586
"{type=Point, coordinates=List(-76.62119900008763, 39.29391499959912)}",72,48,,N Eutaw St-W Mulberry St,BPD Cameras,-76.621199,39.29391499
"{type=Point, coordinates=List(-76.62265599960085, 39.29579200027329)}",73,49,,N Paca St - George St,BPD Cameras,-76.62265599,39.295792
"{type=Point, coordinates=List(-76.61695718829695, 39.29629940501087)}",74,50,,Cathedral St-W Centre St,BPD Cameras,-76.61695718,39.2962994
"{type=Point, coordinates=List(-76.61647439043092, 39.29132167370338)}",75,51,,Center Plaza,BPD Cameras,-76.61647439,39.29132167
"{type=Point, coordinates=List(-76.61627054205462, 39.288789080801166)}",76,52,,Hopkins Plaza,BPD Cameras,-76.61627054,39.28878908
"{type=Point, coordinates=List(-76.61514400032377, 39.28952599972365)}",77,53,,Charles-Baltimore,BPD Cameras,-76.615144,39.28952599
"{type=Point, coordinates=List(-76.61486299969313, 39.2877439998873)}",78,54,,S Charles St-E Lombard St,BPD Cameras,-76.61486299,39.28774399
"{type=Point, coordinates=List(-76.61397600017442, 39.29116999976101)}",79,55,,Saint Paul St - E Lexington St,BPD Cameras,-76.613976,39.29116999
"{type=Point, coordinates=List(-76.61371707908704, 39.28882022042248)}",80,56,,Light St-E Redwood St,BPD Cameras,-76.61371707,39.28882022
"{type=Point, coordinates=List(-76.61244800048664, 39.29038699971777)}",81,57,,N Calvert St - E Fayette St,BPD Cameras,-76.612448,39.29038699
"{type=Point, coordinates=List(-76.61202499986064, 39.288932999706184)}",82,58,,S Calvert St-E Redwood St,BPD Cameras,-76.61202499,39.28893299
"{type=Point, coordinates=List(-76.61213500010291, 39.2878249995769)}",83,59,,S Calvert St - E Lombard St,BPD Cameras,-76.612135,39.28782499
"{type=Point, coordinates=List(-76.61111400049191, 39.291244999636746)}",84,60,,60 - Guilford Ave-E Lexington St,BPD Cameras,-76.611114,39.29124499
"{type=Point, coordinates=List(-76.61104800019591, 39.289701000002424)}",85,61,,South St - E Baltimore St,BPD Cameras,-76.611048,39.289701
"{type=Point, coordinates=List(-76.61096100029854, 39.28856599969793)}",86,62,,South St-Water St,BPD Cameras,-76.610961,39.28856599
"{type=Point, coordinates=List(-76.61035500003752, 39.29249500007101)}",87,63,,N Holliday St - E Saratoga St,BPD Cameras,-76.610355,39.292495
"{type=Point, coordinates=List(-76.61027599979796, 39.290498000324334)}",88,64,,N Holiday St-E Fayette St,BPD Cameras,-76.61027599,39.290498
"{type=Point, coordinates=List(-76.61011600011722, 39.28784900041653)}",89,65,,Commerce St - E Lombard St,BPD Cameras,-76.610116,39.287849
"{type=Point, coordinates=List(-76.61002199967646, 39.286661999780925)}",90,66,,Commerce St - E Pratt St,BPD Cameras,-76.61002199,39.28666199
"{type=Point, coordinates=List(-76.60975545613246, 39.289210493746374)}",91,67,,Custom House Ave,BPD Cameras,-76.60975545,39.28921049
"{type=Point, coordinates=List(-76.60894500032391, 39.28977199985925)}",92,68,,S Gay St - E Baltimore St,BPD Cameras,-76.608945,39.28977199
"{type=Point, coordinates=List(-76.60883200055032, 39.28862399983467)}",93,69,,S Gay St - Water St,BPD Cameras,-76.608832,39.28862399
"{type=Point, coordinates=List(-76.60782962956023, 39.29137772214226)}",94,70,,E Saratoga St - E Lexington Stb,BPD Cameras,-76.60782962,39.29137772
"{type=Point, coordinates=List(-76.60694399966101, 39.28790399992519)}",95,71,,Market Pl - E Lombard St,BPD Cameras,-76.60694399,39.28790399
"{type=Point, coordinates=List(-76.6246479998533, 39.291325000316924)}",96,72,,Pearl St - W Lexington St,BPD Cameras,-76.62464799,39.291325
"{type=Point, coordinates=List(-76.6239300005464, 39.29377899990577)}",97,73,,N Greene St - W Mulberry St,BPD Cameras,-76.62393,39.29377899
"{type=Point, coordinates=List(-76.622871458559, 39.29750538325838)}",98,74,,Druid Hill Ave - Saint Mary St,BPD Cameras,-76.62287145,39.29750538
"{type=Point, coordinates=List(-76.62506282243075, 39.2958219897446)}",99,75,,Pennsylvania Ave -Saint Mary St,BPD Cameras,-76.62506282,39.29582198
"{type=Point, coordinates=List(-76.62144799974779, 39.297268999964366)}",100,76,,N Eutaw St & W Monument St,BPD Cameras,-76.62144799,39.29726899
"{type=Point, coordinates=List(-76.61541400056225, 39.29232700012917)}",101,77,,Saratoga-Charles,BPD Cameras,-76.615414,39.292327
"{type=Point, coordinates=List(-76.5941170001208, 39.293967999837385)}",102,201,,E Fayette St - N Broadway,BPD Cameras,-76.594117,39.29396799
"{type=Point, coordinates=List(-76.59402900038285, 39.29263200017026)}",103,202,,E Fairmount Ave - N Broadway,BPD Cameras,-76.594029,39.292632
"{type=Point, coordinates=List(-76.5939439995579, 39.29154199985369)}",104,203,,E Baltimore St - S Broadway,BPD Cameras,-76.59394399,39.29154199
"{type=Point, coordinates=List(-76.59177700027388, 39.29161599964027)}",105,204,,E Baltimore St - S Ann St,BPD Cameras,-76.591777,39.29161599
"{type=Point, coordinates=List(-76.58920099962478, 39.29174700016846)}",106,205,,E Baltimore St - S Washington St,BPD Cameras,-76.58920099,39.291747
"{type=Point, coordinates=List(-76.59386900012537, 39.2903989995938)}",107,206,,E Lombard St - S Broadway,BPD Cameras,-76.593869,39.29039899
"{type=Point, coordinates=List(-76.59171000025405, 39.290499000044534)}",108,207,,E Lombard St - S Ann St,BPD Cameras,-76.59171,39.290499
"{type=Point, coordinates=List(-76.5910470005426, 39.290520000215636)}",109,208,,E Lombard St - S Durham St,BPD Cameras,-76.591047,39.29052
"{type=Point, coordinates=List(-76.58974899973205, 39.290554999928595)}",110,209,,E Lombard St - S Chapel St,BPD Cameras,-76.58974899,39.29055499
"{type=Point, coordinates=List(-76.58910600045982, 39.29057300000799)}",111,210,,E Lombard St - S Washington St,BPD Cameras,-76.589106,39.290573
"{type=Point, coordinates=List(-76.59380300054279, 39.28925700012693)}",112,211,,E Pratt St - S Broadway,BPD Cameras,-76.593803,39.289257
"{type=Point, coordinates=List(-76.5957114105313, 39.2891399134036)}",113,212,,E Pratt St - N Bond St,BPD Cameras,-76.59571141,39.28913991
"{type=Point, coordinates=List(-76.59370400011935, 39.28762300005415)}",114,213,,Gough St - S Broadway,BPD Cameras,-76.593704,39.287623
"{type=Point, coordinates=List(-76.59243200052082, 39.287695999808385)}",115,214,,Gough St - S Regester St,BPD Cameras,-76.592432,39.28769599
"{type=Point, coordinates=List(-76.59363800049287, 39.28660899959403)}",116,215,,Bank St - S Broadway,BPD Cameras,-76.593638,39.28660899
"{type=Point, coordinates=List(-76.59544000057713, 39.28651200017916)}",117,216,,Bank St - S Bond St,BPD Cameras,-76.59544,39.286512
"{type=Point, coordinates=List(-76.59355699943549, 39.285577999942035)}",118,218,,Eastern Ave - S Broadway,BPD Cameras,-76.59355699,39.28557799
"{type=Point, coordinates=List(-76.59140600014639, 39.28568600017445)}",119,219,,Eastern Ave - S Ann St,BPD Cameras,-76.591406,39.285686
"{type=Point, coordinates=List(-76.59356564263112, 39.28460387438752)}",120,220,,Fleet St - S Broadway,BPD Cameras,-76.59356564,39.28460387
"{type=Point, coordinates=List(-76.59326000040829, 39.284563999918824)}",121,221,,Fleet St - S Broadway St (East),BPD Cameras,-76.59326,39.28456399
"{type=Point, coordinates=List(-76.59135300021984, 39.284726000416306)}",122,222,,Fleet St - S Ann St,BPD Cameras,-76.591353,39.284726
"{type=Point, coordinates=List(-76.59672399947141, 39.284424999803605)}",123,223,,Fleet St - S Caroline St,BPD Cameras,-76.59672399,39.28442499
"{type=Point, coordinates=List(-76.59824499947726, 39.28434600034706)}",124,224,,Fleet St - S Eden St,BPD Cameras,-76.59824499,39.284346
"{type=Point, coordinates=List(-76.59318476842549, 39.28353469565279)}",125,225,,S Broadway - Aliceanna St(East),BPD Cameras,-76.59318476,39.28353469
"{type=Point, coordinates=List(-76.5931249996754, 39.281841000319154)}",126,227,,Thames St - S Broadway,BPD Cameras,-76.59312499,39.281841
"{type=Point, coordinates=List(-76.63140490746974, 39.250543060837046)}",127,307,,Behind Bldg 1200,BPD Cameras,-76.6314049,39.25054306
"{type=Point, coordinates=List(-76.63222458264119, 39.25093656168336)}",128,302,,Back of 1312 Shellbanks,BPD Cameras,-76.63222458,39.25093656
"{type=Point, coordinates=List(-76.63186599967474, 39.25048400007525)}",129,305,,Shellbanks Rd - Blyden Rd,BPD Cameras,-76.63186599,39.250484
"{type=Point, coordinates=List(-76.63301000014577, 39.250116000448315)}",130,303,,Berea Rd - Slater Rd,BPD Cameras,-76.63301,39.250116
"{type=Point, coordinates=List(-76.63199614765303, 39.2490108628866)}",131,308,,Fisk Rd - Slater Rd,BPD Cameras,-76.63199614,39.24901086
"{type=Point, coordinates=List(-76.63219881859881, 39.24875487035856)}",132,309,,Behind 1201 Slater Rd,BPD Cameras,-76.63219881,39.24875487
"{type=Point, coordinates=List(-76.63295086108857, 39.24962970161925)}",133,306,,Back of 1301 Slater Rd.,BPD Cameras,-76.63295086,39.2496297
"{type=Point, coordinates=List(-76.63034600041244, 39.24972100037016)}",134,310,,Giles Rd - Shellbanks Rd,BPD Cameras,-76.630346,39.249721
"{type=Point, coordinates=List(-76.62997849570012, 39.24942904893386)}",135,311,,Rear of 2701 Giles-Shellbanks,BPD Cameras,-76.62997849,39.24942904
"{type=Point, coordinates=List(-76.62926600015311, 39.24857899994935)}",136,313,,Spelman Rd - Woodview Rd,BPD Cameras,-76.629266,39.24857899
"{type=Point, coordinates=List(-76.62851700034564, 39.248612000292695)}",137,314,,Woodview Rd - Round Rd,BPD Cameras,-76.628517,39.248612
"{type=Point, coordinates=List(-76.63083100030055, 39.24839799971682)}",138,312,,Sethlow Rd - Slater Rd,BPD Cameras,-76.630831,39.24839799
"{type=Point, coordinates=List(-76.62975668842311, 39.248153355321335)}",139,315,,Rear of Comm Ctr.,BPD Cameras,-76.62975668,39.24815335
"{type=Point, coordinates=List(-76.63008024453123, 39.247154622615895)}",140,316,,Behind Community Center 1039,BPD Cameras,-76.63008024,39.24715462
"{type=Point, coordinates=List(-76.62880200020093, 39.24704900010902)}",141,317,,Spelman Rd - Claflin Ct,BPD Cameras,-76.628802,39.247049
"{type=Point, coordinates=List(-76.62841466033393, 39.245863552013255)}",142,319,,Spelman Rd - S Denham Cir,BPD Cameras,-76.62841466,39.24586355
"{type=Point, coordinates=List(-76.62769833072068, 39.24641109430744)}",143,318,,2822 Round Rd.,BPD Cameras,-76.62769833,39.24641109
"{type=Point, coordinates=List(-76.62854699962271, 39.244608000272585)}",144,322,,2824 N Denham Cir,BPD Cameras,-76.62854699,39.244608
"{type=Point, coordinates=List(-76.62879377562761, 39.244515153735016)}",145,321,,Rear of 2822 Denham,BPD Cameras,-76.62879377,39.24451515
"{type=Point, coordinates=List(-76.62797972577137, 39.24487036155527)}",146,323,,Off 2820 Spellman,BPD Cameras,-76.62797972,39.24487036
"{type=Point, coordinates=List(-76.62751572274794, 39.24516063391035)}",147,324,,Bridgeview Rd - Spelman Rd,BPD Cameras,-76.62751572,39.24516063
"{type=Point, coordinates=List(-76.62584999981136, 39.24491399978208)}",148,327,,3301 Round Rd.,BPD Cameras,-76.62584999,39.24491399
"{type=Point, coordinates=List(-76.62650721336546, 39.244294658332706)}",149,326,,Side of 2901 Denham Cir.,BPD Cameras,-76.62650721,39.24429465
"{type=Point, coordinates=List(-76.62606900040963, 39.243617999924396)}",150,333,,Bethune Rd - Spelman Rd,BPD Cameras,-76.626069,39.24361799
"{type=Point, coordinates=List(-76.6332947550482, 39.25065259322859)}",151,301,,Behind 2708 Berea Rd.,BPD Cameras,-76.63329475,39.25065259
"{type=Point, coordinates=List(-76.63275599957, 39.250271999625745)}",152,304,,Behind 2711 Berea Rd.,BPD Cameras,-76.63275599,39.25027199
"{type=Point, coordinates=List(-76.6308604180806, 39.24823955573434)}",153,352,,Maint. Backyard 1,BPD Cameras,-76.63086041,39.24823955
"{type=Point, coordinates=List(-76.63066461750542, 39.24800899398512)}",154,353,,Maint Backyard 2,BPD Cameras,-76.63066461,39.24800899
"{type=Point, coordinates=List(-76.63104414928482, 39.247959142449)}",155,355,,Maint. Garage Doors,BPD Cameras,-76.63104414,39.24795914
"{type=Point, coordinates=List(-76.62969231567436, 39.24849608189013)}",156,354,,Back of Comm. Ctr.,BPD Cameras,-76.62969231,39.24849608
"{type=Point, coordinates=List(-76.63052111883935, 39.2481118122026)}",157,356,,Back of Comm. Ctr. 2,BPD Cameras,-76.63052111,39.24811181
"{type=Point, coordinates=List(-76.62498599967618, 39.24502800015976)}",158,328,,Behind 911 Coppin Court,BPD Cameras,-76.62498599,39.245028
"{type=Point, coordinates=List(-76.62781829876963, 39.243937304638784)}",159,325,,Rear of 2917 S Denham Cir.,BPD Cameras,-76.62781829,39.2439373
"{type=Point, coordinates=List(-76.62567800037675, 39.242839000441805)}",160,335,,3430 Spelman Rd,BPD Cameras,-76.625678,39.242839
"{type=Point, coordinates=List(-76.62528300012902, 39.242624999585125)}",161,336,,3456 Spelman Rd,BPD Cameras,-76.625283,39.24262499
"{type=Point, coordinates=List(-76.62550299947956, 39.242225000349606)}",162,337,,3446 Spelman Rd(Parking Lot),BPD Cameras,-76.62550299,39.242225
"{type=Point, coordinates=List(-76.62395507042488, 39.242505389778515)}",163,338,,Spellman Rd. LLC#7076,BPD Cameras,-76.62395507,39.24250538
"{type=Point, coordinates=List(-76.62401981812296, 39.24204446306909)}",164,339,,3486 Spelman Rd.,BPD Cameras,-76.62401981,39.24204446
"{type=Point, coordinates=List(-76.62459671842672, 39.24395149780052)}",165,332,,3401 Round Rd.,BPD Cameras,-76.62459671,39.24395149
"{type=Point, coordinates=List(-76.62380166898515, 39.24413016194079)}",166,331,,Rear of 3411 Round Rd.,BPD Cameras,-76.62380166,39.24413016
"{type=Point, coordinates=List(-76.62277499966766, 39.24330000043219)}",167,341,,Seagull Ave. LLC#7076,BPD Cameras,-76.62277499,39.2433
"{type=Point, coordinates=List(-76.62229478457203, 39.242914617636494)}",168,340,,Seagull Ave. behind UMBC,BPD Cameras,-76.62229478,39.24291461
"{type=Point, coordinates=List(-76.62087599998148, 39.24525699993634)}",169,344,,Seagull Ave - Bethune Rd,BPD Cameras,-76.62087599,39.24525699
"{type=Point, coordinates=List(-76.62116100049714, 39.2447829998452)}",170,343,,835 Seagull Ave.,BPD Cameras,-76.621161,39.24478299
"{type=Point, coordinates=List(-76.62079542878799, 39.2445016516922)}",171,342,,Behind 835 Seagull Ave,BPD Cameras,-76.62079542,39.24450165
"{type=Point, coordinates=List(-76.6238260000613, 39.2450609999649)}",172,330,,Bethune Rd - Bunche Rd,BPD Cameras,-76.623826,39.24506099
"{type=Point, coordinates=List(-76.62434299944988, 39.24541099990225)}",173,329,,Coppin Ct - Bunche Rd .,BPD Cameras,-76.62434299,39.24541099
"{type=Point, coordinates=List(-76.62625599968621, 39.247835999771084)}",174,348,,2627 Carver Rd,BPD Cameras,-76.62625599,39.24783599
"{type=Point, coordinates=List(-76.62539999946088, 39.246813000118195)}",175,346,,Carver Rd - Bridgeview Rd,BPD Cameras,-76.62539999,39.246813
"{type=Point, coordinates=List(-76.62563600028605, 39.247805999669936)}",176,347,,Rear of 2805 Carver Rd.,BPD Cameras,-76.625636,39.24780599
"{type=Point, coordinates=List(-76.62582199948761, 39.248641999653856)}",177,349,,2609 Carver Rd.,BPD Cameras,-76.62582199,39.24864199
"{type=Point, coordinates=List(-76.62532200028838, 39.2484500002096)}",178,350,,2615 Carver Rd. (in circle),BPD Cameras,-76.625322,39.24845
"{type=Point, coordinates=List(-76.62912223817527, 39.24541761166086)}",179,320,,Side of 2810 Denham Cr.,BPD Cameras,-76.62912223,39.24541761
"{type=Point, coordinates=List(-76.62468329116662, 39.24636595543014)}",180,345,,Carver Rd. Front of School,BPD Cameras,-76.62468329,39.24636595
"{type=Point, coordinates=List(-76.62679199990927, 39.242727999606075)}",181,334,,Back Circle 1019 Bethune Rd.,BPD Cameras,-76.62679199,39.24272799
"{type=Point, coordinates=List(-76.55580999982925, 39.28705000030834)}",182,402,,Eastern Ave - Oldham St,BPD Cameras,-76.55580999,39.28705
"{type=Point, coordinates=List(-76.5580529995371, 39.28714199977373)}",183,403,,Eastern Ave - S Lehigh St,BPD Cameras,-76.55805299,39.28714199
"{type=Point, coordinates=List(-76.55659199974906, 39.28703399989268)}",184,404,,Eastern Ave - S Newkirk St,BPD Cameras,-76.55659199,39.28703399
"{type=Point, coordinates=List(-76.60946388864431, 39.318147222248705)}",185,509,,Greenmount Ave - E 25th St,BPD Cameras,-76.60946388,39.31814722
"{type=Point, coordinates=List(-76.61216944366915, 39.31806111093442)}",186,508,,Falls St Alley - E 25th St,BPD Cameras,-76.61216944,39.31806111
"{type=Point, coordinates=List(-76.60876944373977, 39.316588889051346)}",187,510,,Boone St - E 24th St,BPD Cameras,-76.60876944,39.31658888
"{type=Point, coordinates=List(-76.61042777807577, 39.31625833333014)}",188,512,,Brentwood Ave - E 24th St,BPD Cameras,-76.61042777,39.31625833
"{type=Point, coordinates=List(-76.61315555641114, 39.32208055605459)}",189,501,,Guilford Ave - E 28th St,BPD Cameras,-76.61315555,39.32208055
"{type=Point, coordinates=List(-76.60744444394358, 39.31603611101881)}",190,511,,Cokesbury Ave - E 23rd St,BPD Cameras,-76.60744444,39.31603611
"{type=Point, coordinates=List(-76.60952500034412, 39.3154916669478)}",191,513,,Greenmount Ave - E 23rd St,BPD Cameras,-76.609525,39.31549166
"{type=Point, coordinates=List(-76.60820277802853, 39.31543888857741)}",192,515,,23rd ST. - Boone,BPD Cameras,-76.60820277,39.31543888
"{type=Point, coordinates=List(-76.61271666744858, 39.3154249995925)}",193,514,,Guilford Ave - E 23rd St,BPD Cameras,-76.61271666,39.31542499
